,wind_deg,wind_velocity,air_temperature,r_humidity,surface_tmp,weather,dewpoint,uv
8493,295.0,0.7,-0.5,99.9,1.2,0,-0.5137473577543362,0.0
14668,98.0,1.5,5.5,49.0,18.5,4,-4.383939783403847,0.0
5879,14.0,0.6,-11.9,82.8,-6.9,0,-14.231798676508994,0.0
7384,352.0,0.3,-16.0,97.4,-11.4,0,-16.316781137136367,0.0
23756,17.0,0.1,-7.9,99.9,-3.0,0,-7.9129215698540225,0.0
7647,280.0,1.4,-0.7,32.9,13.2,0,-15.048282811222943,0.0
19025,49.0,0.2,-3.7,87.9,-0.1,0,-5.413424664805966,0.0
11929,304.0,0.7,4.8,40.1,13.4,0,-7.65270768328251,0.0
22778,51.0,2.9,3.8,18.1,23.8,0,-18.345449468510946,0.0
13493,0.0,0.2,-1.2,77.0,3.4,0,-4.718848500530463,0.0
23436,15.0,0.6,4.5,16.8,23.9,0,-18.64567466452177,0.0
18647,23.0,1.6,5.2,54.4,19.6,0,-3.2647339601870704,0.0
20470,0.0,0.0,-4.5,99.9,-1.5,4,-4.5132978100889725,0.0
16301,91.0,0.5,-2.8,99.9,-1.1,4,-2.8134879547974765,0.0
9203,291.0,0.3,-1.5,47.3,1.5,0,-11.289519819641562,0.0
555,0.0,0.0,9.27,9.99,-4.4,4,-20.89129973138279,0.0
8056,0.0,0.0,-12.4,99.9,-7.9,0,-12.412431906379545,0.0
20725,20.0,0.9,7.5,33.1,24.5,0,-7.726369598249072,0.0
13374,36.0,0.2,7.3,38.6,13.9,0,-5.9005553570329825,0.0
24728,318.0,1.0,5.3,47.1,19.4,0,-5.092562863518053,0.0
16193,0.0,0.0,-2.8,99.9,-0.9,4,-2.8134879547974765,0.0
6982,105.0,1.9,-4.6,35.0,2.3,0,-17.77245609196064,0.0
18182,83.0,0.4,2.7,81.9,7.1,0,-0.08468087836614531,0.0
4564,82.0,1.6,-12.1,55.8,-7.2,0,-19.14665496989822,0.0
25741,262.0,0.6,-1.2,58.3,4.2,0,-8.353643642565645,0.0
27375,0.0,0.0,-6.5,99.9,-1.9,0,-6.5130758384559835,0.0
15207,96.0,0.4,-5.3,99.9,-4.0,4,-5.31320879725955,0.0
24513,218.0,0.5,-4.0,91.6,-0.7,0,-5.165401756995768,0.0
23146,0.0,0.0,-9.6,97.9,-5.1,0,-9.86986042560076,0.0
17261,315.0,0.8,3.5,89.5,12.8,4,1.9349783308248287,0.0
9550,231.0,0.6,1.4,99.9,-0.4,4,1.3860364893879027,0.0
6037,51.0,0.5,-9.9,96.2,-4.0,2,-10.39086138007862,0.0
4501,306.0,1.3,-9.1,65.9,-4.2,0,-14.312731024769851,0.0
5660,31.0,0.2,-11.9,62.4,-4.4,0,-17.639655339794196,0.0
7973,244.0,0.5,-10.7,99.9,-7.0,0,-10.712615778814516,0.0
22992,96.0,0.5,-5.3,55.3,-2.3,0,-12.872339275090713,0.0
1490,292.0,0.9,3.7,56.5,14.7,0,-4.160682341623239,0.0
4996,47.0,1.3,-14.7,49.5,-8.2,0,-22.955294353417905,0.0
19973,295.0,0.9,2.0,87.6,6.3,0,0.15708258310377926,0.0
16440,22.0,0.3,-2.0,99.9,2.4,4,-2.013577901693343,0.0
455,4.3,0.02,9.45,9.99,-2.4,4,-20.75176205131105,0.0
5071,29.0,0.9,-16.2,59.7,-10.5,0,-22.235657494566993,0.0
5354,322.0,0.4,-15.0,70.1,-10.8,0,-19.235375681213913,0.0
17246,257.0,0.9,2.9,91.3,10.9,4,1.6206660610654504,0.0
8989,115.0,0.7,3.0,29.6,14.2,0,-13.089326821056742,0.0
25449,43.0,0.9,7.8,49.1,21.6,4,-2.236346227195176,0.0
6512,30.0,0.1,-10.7,99.9,-6.0,4,-10.712615778814516,0.0
3712,39.0,0.4,-5.5,99.8,-2.9,0,-5.526384922230584,0.0
12889,0.0,0.0,-5.3,99.9,-2.1,4,-5.31320879725955,0.0
13643,38.0,0.2,-5.0,99.9,-2.0,4,-5.013242142043061,0.0
6994,108.0,2.4,-5.5,36.4,0.0,0,-18.113383213212334,0.0
23261,355.0,0.5,-1.3,47.6,4.1,0,-11.025927560404432,0.0
15436,283.0,1.0,9.1,37.0,15.7,0,-4.848321440823257,0.0
5033,60.0,0.9,-15.5,54.0,-9.6,0,-22.716300871018948,0.0
7664,278.0,1.0,-0.7,36.9,11.5,0,-13.646476269219056,0.0
25510,63.0,1.4,9.3,30.2,27.9,0,-7.33513498541258,0.0
2362,309.0,0.9,-5.3,48.8,-1.2,0,-14.40947693469508,0.0
23152,0.0,0.3,-9.3,97.9,-5.3,0,-9.570553841427813,0.0
4685,103.0,2.4,-13.6,34.6,-4.7,0,-25.94923951742291,0.0
5393,352.0,0.8,-13.2,47.6,-2.7,0,-22.009687709033575,0.0
15995,42.0,0.5,7.1,73.3,8.5,0,2.641143556734518,0.0
17483,47.0,0.2,2.9,77.8,6.6,4,-0.5964015041062751,0.0
15750,11.0,0.4,1.4,99.9,5.7,1,1.3860364893879027,0.0
631,0.0,0.0,9.63,9.99,-0.2,4,-20.61224815200004,0.0
21317,0.0,0.0,3.0,64.9,6.0,0,-2.9651260020061985,0.0
20134,283.0,1.0,5.0,52.6,14.2,0,-3.901674496988392,0.0
21821,308.0,0.8,3.7,68.7,5.4,4,-1.5258709402680557,0.0
26826,252.0,0.5,1.2,42.4,8.7,0,-10.198315780981616,0.0
5154,354.0,0.2,-18.0,72.0,-11.7,0,-21.820400277624856,0.0
9409,101.0,1.0,3.5,98.4,1.2,4,3.2712059999125755,0.0
24698,224.0,1.2,3.3,64.8,13.0,0,-2.7003087286089875,0.0
8036,0.0,0.0,-12.2,99.9,-7.9,0,-12.212453468375333,0.0
28077,0.0,0.0,-6.5,99.9,-1.6,4,-6.5130758384559835,0.0
21159,45.0,0.3,1.4,75.6,4.7,0,-2.442704348557532,0.0
26661,16.0,0.1,-7.4,93.7,-2.9,0,-8.241023479335599,0.0
11527,0.0,0.2,-8.9,95.8,-5.0,0,-9.448197329830977,0.0
27954,0.0,0.0,-4.1,93.5,1.2,0,-4.992980844025567,0.0
21836,299.0,0.8,3.5,71.6,5.4,4,-1.15372444794377,0.0
27429,20.0,0.1,-7.1,99.9,-2.6,0,-7.113009611252607,0.0
10373,60.0,1.2,1.2,42.1,12.7,0,-10.288207974392519,0.0
11996,347.0,0.7,1.5,46.4,5.1,0,-8.775619764388555,0.0
3622,0.0,0.0,-2.8,84.8,-1.0,0,-5.0024627654085085,0.0
23225,356.0,0.2,-5.8,77.6,-4.2,0,-9.088038505208862,0.0
17073,0.0,0.0,-6.0,99.9,-3.7,4,-6.0131311562265255,0.0
16579,49.0,0.5,4.0,86.5,16.7,4,1.9497060970310884,0.0
15774,28.0,0.4,2.4,99.9,7.0,0,2.3859220475300056,0.0
24797,134.0,0.6,8.1,33.5,27.9,0,-7.040958938682941,0.0
21604,0.0,0.0,4.5,63.6,7.9,4,-1.8125222552308808,0.0
1356,40.0,0.4,-4.1,90.7,-0.4,0,-5.394761691629367,0.0
22002,175.0,1.1,4.2,90.4,9.4,1,2.7672468831854578,0.0
17482,0.0,0.0,2.9,78.6,6.6,4,-0.4558550006455689,0.0
25509,89.0,1.7,9.0,30.3,27.3,0,-7.55410203400243,0.0
11011,6.0,0.2,-2.8,72.5,0.6,0,-7.0587481248096475,0.0
